Swing/Take,Outs,runners_code,count_code,PlateLocHeight,PlateLocSide,ERV_delta
Swing,0,1,1,2.96444,0.70935,0.022359259685336558
Swing,0,3,9,2.9779,0.12123,0.03830979247218497
Swing,1,3,6,3.11663,-0.8358,0.029878048780487804
Swing,1,3,4,3.10761,-1.05701,0.025854305360679064
Swing,1,3,1,3.01748,-0.58852,0.0
Swing,1,3,1,1.30678,-0.56674,0.9761586714998588
Swing,1,5,5,3.66544,-0.24385,0.023782733224222585
Swing,1,5,4,2.60445,0.36414,0.9337976670707232
Swing,2,1,6,2.51838,0.23839,0.003829026067189628
Swing,2,1,8,1.9104,-0.69339,0.0
Swing,2,1,8,2.25429,0.4631,0.0
Swing,2,1,8,2.4223,-0.33835,-0.05025461969906414
Swing,1,0,7,2.03203,0.24788,-0.006357840547369964
Swing,2,0,2,1.44935,-0.23626,-0.001150551464057849
Swing,2,0,0,1.58752,-0.06982,0.0
Swing,2,0,0,3.52088,-0.33482,0.0
Swing,2,0,0,2.08342,-1.62382,0.002250321102215661
Swing,0,0,6,3.02874,0.80573,-0.0027686129911500563
Swing,0,0,7,1.91456,0.27254,-0.0015581637795894446
Swing,0,0,3,2.12667,1.10828,-0.004799676767780519
Swing,1,0,5,2.59154,0.18462,-0.0010997696381578118
Swing,1,0,2,2.95574,-0.06062,-0.001150551464057849
Swing,1,0,0,3.50592,-0.39764,0.002250321102215661
Swing,2,0,10,3.39553,-0.17969,-0.015578635014836795
Swing,0,0,4,2.50875,-0.97469,0.013363006511551522
Swing,0,1,5,2.96955,0.09504,0.01271417392341024
Swing,0,1,4,1.52229,-0.1698,0.018543683300196442
Swing,0,3,5,1.6821,-0.9115,0.01948347037035504
Swing,0,3,2,2.68946,-0.82664,-0.003119622177654144
Swing,0,3,0,1.08466,0.14301,0.0
Swing,0,3,1,3.40166,-0.11166,-0.06030133053899597
Swing,1,3,4,3.50584,0.39799,0.025854305360679064
Swing,1,3,3,3.01096,0.81438,0.0
Swing,1,3,3,1.7493,0.45534,0.9796149610301592
Swing,1,5,6,3.02397,-0.7155,0.04651920648498921
Swing,1,5,3,1.29272,-0.92237,-0.03819444444444446
Swing,2,5,5,2.30834,-0.99589,0.023782733224222585
Swing,2,5,10,3.47419,-0.979,-0.029684601113172532
Swing,2,5,8,3.03895,-1.08675,-0.1865012559457004
Swing,0,0,5,1.31788,0.54874,-0.0010997696381578118
Swing,0,0,4,1.26004,0.74175,0.03019246529116853
Swing,0,2,6,3.85691,-0.67442,0.00954100319505416
Swing,0,0,5,1.59874,-0.11486,-0.0010997696381578118
Swing,0,0,10,3.09257,0.03828,0.9927253038446575
Swing,1,3,5,2.44227,-0.89237,0.01948347037035504
Swing,1,3,2,2.51901,0.23066,-0.003119622177654144
Swing,1,3,0,2.50547,0.05833,-0.016363848192700897
Swing,2,3,1,1.66404,-0.18278,-0.12239902080783353
Swing,0,0,9,2.80149,0.93339,0.0030843553837095316
Swing,0,0,7,3.5351,-0.01565,-0.006357840547369964
Swing,1,0,6,2.80419,0.14035,-0.0027686129911500563
Swing,1,0,4,1.98313,0.17388,0.013363006511551522
Swing,1,1,2,0.86034,-0.12208,-0.03494721514379323
